Livro,Autor,Categoria,Editora,Preco
Sandman 30 anos Vol 1,Neil Gaiman,Graphic Novel,Panini,30.0
Sandman 30 anos Vol 2,Neil Gaiman,Graphic Novel,Panini,30.0
Sandman 30 anos Vol 3,Neil Gaiman,Graphic Novel,Panini,30.0
Sandman 30 anos Vol 4,Neil Gaiman,Graphic Novel,Panini,30.0
Sandman 30 anos Vol 5,Neil Gaiman,Graphic Novel,Panini,30.0
Sandman 30 anos Vol 6,Neil Gaiman,Graphic Novel,Panini,30.0
Sandman 30 anos Vol 7,Neil Gaiman,Graphic Novel,Panini,30.0
Sandman 30 anos Vol 8,Neil Gaiman,Graphic Novel,Panini,30.0
Sandman 30 anos Vol 9,Neil Gaiman,Graphic Novel,Panini,30.0
Sandman 30 anos Vol 10,Neil Gaiman,Graphic Novel,Panini,30.0
Sandman 30 anos Vol 11,Neil Gaiman,Graphic Novel,Panini,30.0
Sandman 30 anos Vol 12,Neil Gaiman,Graphic Novel,Panini,30.0
Deuses Americanos,Neil Gaiman,Romance,Intrinseca,60.0
Os filhos de Anansi,Neil Gaiman,Romance,Intrinseca,25.0
Lugar Nenhum,Neil Gaiman,Romance,Intrinseca,30.0
Belas Maldicoes,Neil Gaiman,Comedia,Intrinseca,60.0
Mitologia Nordica,Neil Gaiman,Literatura,Intrinseca,45.0
Minhocazine Ed. 1,Banca do Minhoca,Comedia,Clube do Minhoca,19.0
Minhocazine Ed. 2,Banca do Minhoca,Comedia,Clube do Minhoca,19.0
Minhocazine Ed. 3,Banca do Minhoca,Comedia,Clube do Minhoca,19.0
Minhocazine Ed. 4,Banca do Minhoca,Comedia,Clube do Minhoca,19.0
Minhocazine Ed. 5,Banca do Minhoca,Comedia,Clube do Minhoca,19.0
Minhocazine Ed. 6,Banca do Minhoca,Comedia,Clube do Minhoca,19.0
Minhocazine Ed. 7,Banca do Minhoca,Comedia,Clube do Minhoca,19.0
Minhocazine Ed. 8,Banca do Minhoca,Comedia,Clube do Minhoca,19.0
Minhocazine Ed. 9,Banca do Minhoca,Comedia,Clube do Minhoca,19.0
Minhocazine Ed. 10,Banca do Minhoca,Comedia,Clube do Minhoca,19.0
Minhocazine Ed. 11,Banca do Minhoca,Comedia,Clube do Minhoca,19.0
Minhocazine Ed. 12,Banca do Minhoca,Comedia,Clube do Minhoca,19.0
Minhocazine Ed. 13,Banca do Minhoca,Comedia,Clube do Minhoca,19.0
Minhocazine Ed. 14,Banca do Minhoca,Comedia,Clube do Minhoca,19.0
Sherlock Holmes - Um estudo em vermelho,Arthur Conan Doyle,Romance,Harper Colins,50.0
Sherlock Holmes - O signo dos 4,Arthur Conan Doyle,Romance,Harper Colins,50.0
Sherlock Holmes - O cao de Baskerville,Arthur Conan Doyle,Romance,Harper Colins,50.0
Sherlock Holmes - O vale do medo,Arthur Conan Doyle,Romance,Harper Colins,50.0
As aventuras de Sherlock Holmes,Arthur Conan Doyle,Contos,Harper Colins,35.0
Memorias de Sherlock Holmes,Arthur Conan Doyle,Contos,Harper Colins,35.0
A volta de Sherlock Holmes,Arthur Conan Doyle,Contos,Harper Colins,35.0
Os ultimos casos de Sherlock Holmes,Arthur Conan Doyle,Contos,Harper Colins,35.0
Historias de Sherlock Holmes,Arthur Conan Doyle,Contos,Harper Colins,90.0
Iludidos pelo acaso,Nissin Nicholas Taleb,Literatura,Objetiva,70.0
Antifragil,Nissin Nicholas Taleb,Literatura,Objetiva,99.0
A logica do cisne negro,Nissin Nicholas Taleb,Literatura,Objetiva,65.0
Recursao,Blake Crouch,Romance,Intrinseca,40.0
Materia Escura,Blake Crouch,Romance,Intrinseca,60.0
Sapiens,Yuval Noah Harari,Literatura,Companhia das Letras,35.0
Homo Deus,Yuval Noah Harari,Literatura,Companhia das Letras,35.0
21 Licoes para o seculo 21,Yuval Noah Harari,Literatura,Companhia das Letras,80.0
O caso Evandro,Ivan Mizanzuk,Historia,Harper Colins,50.0
Este livro nao vai deixar voce rico,Startup da real,Empreendedorismo,Planeta Editora,20.0
Jurassic Park,Michael Crichthon,Romance,Aleph,80.0
O mundo perdido,Michael Crichthon,Romance,Aleph,90.0
O evangelho segundo um humorista,Afonso Padilha,Comedia,Clube do Minhoca,30.0
Todo mundo que voce odeia vai morrer,Daniel Sloss,Comedia,Clube do Minhoca,110.0
A jornada do escritor,Chirstopher Vogler,Tecnico,Aleph,150.0
Respostas de um astrofísico,Neil Degrasse Tayson,Contos,Nerdbooks,60.0
Guia da Escrita,Steven Pinker,Tecnico,Contexto,40.0
O sapo cesio,Leo Lins,Comedia,Fabrica de humor,5.0
Ed Mort,Luis Fernando Verissimo,Comedia,Aleph,15.0